,0,1,2
243,178,200,217
244,177,199,216
245,178,200,217
246,179,201,218
247,179,201,218
248,179,201,218
249,181,203,220
250,180,202,219
251,181,203,220
252,182,204,221
253,181,203,220
254,181,203,220
255,182,204,221
256,182,204,221
257,180,202,219
258,179,201,218
259,180,202,219
260,180,202,219
261,180,202,219
262,181,203,220
263,181,203,220
264,179,201,218
265,178,200,217
266,177,199,216
267,179,201,218
268,181,203,220
269,182,204,221
270,182,204,221
271,180,202,219
272,178,200,217
273,178,200,217
274,179,201,218
275,182,204,221
276,182,204,221
277,181,203,220
278,182,204,221
279,182,204,221
280,182,204,221
281,181,203,220
282,180,202,219
283,177,199,216
284,176,198,215
285,177,199,216
286,178,200,217
287,180,202,219
288,180,202,219
289,179,201,218
290,178,200,217
291,179,201,218
292,177,199,216
293,176,198,215
294,176,198,215
295,176,199,216
296,178,201,218
297,180,203,220
298,180,203,220
299,180,203,220
300,176,199,216
301,176,199,216
302,177,200,217
303,174,197,214
304,174,199,216
305,173,200,216
306,175,200,216
307,179,202,219
308,181,204,221
309,180,203,220
310,180,202,219
311,178,200,217
312,179,201,218
313,180,202,219
314,179,201,218
315,180,202,219
316,180,202,219
317,180,202,219
318,180,202,219
319,180,202,219
320,179,201,218
321,179,201,218
322,178,200,217
323,177,199,216
324,177,199,216
325,177,199,216
326,177,199,216
327,175,197,214
328,177,199,216
329,177,199,216
330,175,197,214
331,174,196,213
332,180,202,219
333,179,201,218
334,179,201,218
335,178,200,217
336,178,200,217
337,180,202,219
338,179,201,218
339,178,200,217
340,176,198,215
341,176,198,215
342,178,200,217
343,180,202,219
344,178,200,217
345,176,199,216
346,176,199,216
347,178,201,218
348,178,203,219
349,176,202,218
350,177,202,218
351,177,200,217
352,175,198,215
353,176,199,216
354,175,198,215
355,175,198,215
356,176,199,216
357,176,199,216
358,176,199,216
359,176,199,216
360,176,199,216
361,175,198,215
362,176,199,216
363,178,201,218
364,177,200,217
365,176,199,216
366,177,200,217
367,177,201,218
368,178,201,218
369,180,202,219
370,177,199,216
371,175,197,214
372,174,197,214
373,175,198,215
374,175,197,215
375,174,199,216
376,173,199,214
377,180,202,219
378,181,203,220
379,180,202,219
380,181,203,220
381,180,202,219
382,179,201,218
383,178,200,217
384,178,200,217
385,178,200,217
386,179,201,218
387,180,202,219
388,180,202,219
389,180,202,219
390,181,203,220
391,181,203,220
392,181,203,220
393,181,203,220
394,181,203,220
395,181,203,220
396,181,203,220
397,180,202,219
398,180,202,219
399,180,202,219
400,179,201,218
401,179,201,218
402,179,201,218
403,178,200,217
404,178,200,217
405,179,201,218
406,181,203,220
407,181,203,220
408,182,204,221
409,182,204,221
410,182,204,221
411,182,204,221
412,182,204,221
413,182,204,221
414,182,204,221
415,182,204,221
416,182,204,221
417,182,204,221
418,182,204,221
419,182,204,221
420,182,204,221
421,181,203,220
422,181,203,220
423,182,204,221
424,181,203,220
425,178,200,217
426,175,197,214
427,177,199,216
428,180,202,219
429,181,203,220
430,181,203,220
431,179,201,218
432,180,202,219
433,181,203,220
434,180,202,219
435,181,203,220
436,181,203,220
437,181,203,220
438,180,202,219
439,181,203,220
440,182,204,221
441,182,204,221
442,182,204,221
443,182,204,221
444,181,203,220
445,181,203,220
446,180,202,219
447,180,202,219
448,178,200,217
449,178,200,217
450,176,198,217
451,176,198,217
452,177,199,218
453,175,197,216
454,169,192,210
455,162,185,203
456,169,192,210
457,160,184,202
458,161,186,204
459,153,178,196
460,168,193,211
461,180,205,223
462,183,206,224
463,172,195,213
464,164,187,205
465,173,195,214
466,149,171,190
467,97,118,137
468,51,71,90
469,50,72,91
470,50,71,90
471,49,70,89
472,78,98,119
473,68,86,108
474,40,55,78
475,36,50,74
476,28,39,64
477,42,54,78
478,58,69,92
479,48,60,83
480,43,56,79
481,60,76,99
482,61,78,101
483,43,60,84
484,39,54,81
485,42,57,84
486,50,63,90
487,43,55,83
488,26,38,66
489,29,41,68
490,34,46,72
491,40,52,76
492,48,59,82
493,42,53,74
494,53,65,84
495,27,39,58
496,41,49,71
497,27,29,54
498,12,14,40
499,30,34,59
500,26,31,54
501,13,19,41
502,9,15,36
503,7,15,36
504,5,14,34
505,6,14,34
506,15,22,43
507,31,39,60
508,42,50,71
509,47,55,78
510,50,57,81
511,46,52,77
512,63,69,95
513,55,61,88
514,49,55,81
515,44,49,75
516,30,34,60
517,17,20,47
518,14,18,44
519,17,21,47
520,17,21,47
521,15,18,45
522,19,22,48
523,27,32,57
524,23,28,51
525,12,18,38
526,15,21,41
527,15,21,41
528,15,21,40
529,10,18,36
530,6,12,30
531,12,18,34
532,22,29,45
533,20,27,44
534,59,68,86
535,39,48,66
536,16,25,43
537,20,29,47
538,7,16,34
539,18,27,46
540,25,34,52
541,37,46,64
542,54,63,81
543,41,48,66
544,37,44,62
545,11,17,33
546,7,14,30
547,18,25,40
548,12,20,34
549,5,13,26
550,8,17,28
551,9,18,28
552,10,16,27
553,13,18,29
554,14,19,30
555,12,17,29
556,11,16,28
557,14,19,30
558,16,21,33
559,17,22,34
560,18,23,35
561,15,19,34
562,23,29,45
563,29,35,51
564,32,39,54
565,28,37,52
566,20,30,45
567,22,33,48
568,38,51,65
569,27,41,54
570,26,39,54
571,28,40,57
572,30,41,58
573,9,17,34
574,23,33,50
575,31,40,58
576,15,23,41
577,11,19,37
